,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,h_win,a_win,h_totfd,a_totfd,h_totyds,a_totyds,h_pyds,a_pyds,h_ryds,a_ryds,h_pen,a_pen,h_penyds,a_penyds,h_trnovr,a_trnovr,h_pt,a_pt,h_ptyds,a_ptyds,h_ptavg,a_ptavg,h_top,a_top
93,reg,2017102207,MIN,BAL,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102207/2017102207_gtd.json,24,16,1,0,17,16,357,208,188,144,169,64,4,3,47,15,1,0,2,6,92,289,46,34,32.016666666666666,27.983333333333334
94,reg,2017102206,MIA,NYJ,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102206/2017102206_gtd.json,31,28,1,0,25,16,357,272,304,180,53,92,9,12,76,124,2,2,6,7,267,321,41,41,31.966666666666665,28.033333333333335
95,reg,2017102205,LA,ARI,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102205/2017102205_gtd.json,33,0,1,0,28,10,425,193,228,168,197,25,6,10,45,65,1,2,2,6,119,263,55,32,39.016666666666666,20.983333333333334
96,reg,2017102204,IND,JAX,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102204/2017102204_gtd.json,0,27,0,1,15,23,232,518,136,330,96,188,5,4,55,34,0,2,7,2,314,107,45,54,27.216666666666665,32.78333333333333
97,reg,2017102203,GB,NO,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102203/2017102203_gtd.json,17,26,0,1,16,25,260,485,79,324,181,161,8,7,54,80,1,2,5,2,238,78,46,39,23.066666666666666,36.93333333333333
98,reg,2017102201,CHI,CAR,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102201/2017102201_gtd.json,17,3,1,0,5,20,153,293,85,185,68,108,5,4,40,35,0,3,6,5,296,263,47,46,21.416666666666668,38.583333333333336
99,reg,2017102202,CLE,TEN,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102202/2017102202_gtd.json,9,12,0,1,19,16,284,269,218,189,66,80,12,5,81,35,3,1,4,4,178,208,40,44,32.7,37.3
100,reg,2017102209,SF,DAL,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102209/2017102209_gtd.json,10,40,0,1,23,27,290,501,187,236,103,265,2,5,22,36,3,0,4,3,180,142,45,44,27.166666666666668,32.833333333333336
101,reg,2017102210,LAC,DEN,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102210/2017102210_gtd.json,21,0,1,0,14,12,242,251,162,182,80,69,9,10,81,68,0,3,8,8,413,349,45,33,28.933333333333334,31.066666666666666
102,reg,2017102208,PIT,CIN,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102208/2017102208_gtd.json,29,14,1,0,21,11,420,179,268,108,152,71,1,5,5,54,0,2,2,5,90,250,36,49,35.25,24.75
103,reg,2017102211,NYG,SEA,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102211/2017102211_gtd.json,7,24,0,1,14,26,177,425,131,321,46,104,7,15,28,110,1,1,7,5,304,190,38,38,24.566666666666666,35.43333333333333
104,reg,2017102212,NE,ATL,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102212/2017102212_gtd.json,23,7,1,0,25,21,403,343,241,223,162,120,8,6,65,40,0,0,2,2,100,84,40,43,34.083333333333336,25.916666666666668
105,reg,2017102300,PHI,WAS,7,2017,POST,http://www.nfl.com/liveupdate/game-center/2017102300/2017102300_gtd.json,34,24,1,0,23,19,371,344,244,269,127,75,9,5,55,55,1,1,3,5,153,239,43,39,29.75,30.25
