,type,game_id,home_team,away_team,week,season,lastN_net_totfd,lastN_net_totyds,lastN_net_pyds,lastN_net_ryds,lastN_net_pen,lastN_net_penyds,lastN_net_trnover,lastN_net_pt,lastN_net_ptyds,lastN_net_ptavg,lastN_net_top,,N = 6 Weeks
101,reg,2018102106,MIA,DET,7,2018,-4,-33.33333333,-50.66666667,17.33333333,0.666666667,-0.833333333,0.833333333,1.166666667,56.33333333,4.333333333,-1.902777778,,
102,reg,2018102101,BAL,NO,7,2018,0,-14.16666667,-12,-2.166666667,0.833333333,-7,0.333333333,2,87,2,1.488888889,,
103,reg,2018102110,WAS,DAL,7,2018,0.5,0,40,-40,0.333333333,5.166666667,0.333333333,0.833333333,29.33333333,-0.333333333,0.977777778,,
104,reg,2018102111,SF,LA,7,2018,-2.833333333,-82.5,-70.66666667,-11.83333333,0.5,5.666666667,1.333333333,2.333333333,98.33333333,-3.166666667,-0.713888889,,
105,reg,2018102105,KC,CIN,7,2018,1,66.33333333,44.16666667,22.16666667,1.833333333,12.66666667,-0.5,-1.166666667,-27.5,12.5,0.6,,
106,reg,2018102200,ATL,NYG,7,2018,4.333333333,49,50.5,-1.5,2.166666667,23,-1,-0.166666667,-40.33333333,-8.833333333,-0.080555556,,
107,reg,2018102500,HOU,MIA,8,2018,4.333333333,53,52.83333333,0.166666667,0.666666667,-12.16666667,-0.166666667,-1,-42.83333333,0.166666667,3.588888889,,
108,reg,2018102800,JAX,PHI,8,2018,-4,-21.33333333,-12.33333333,-9,-0.833333333,-4.833333333,1.333333333,0.333333333,-14,-4.833333333,-5.138888889,,
109,reg,2018102805,KC,DEN,8,2018,5.166666667,89.16666667,83.5,5.666666667,2.166666667,15.5,0,-3.5,-141.8333333,1.333333333,2.433333333,,
110,reg,2018102807,PIT,CLE,8,2018,5,55.16666667,94.5,-39.33333333,1.833333333,26,0.166666667,-2.166666667,-108.3333333,2,0.347222222,,
111,reg,2018102806,NYG,WAS,8,2018,-0.833333333,29,69.33333333,-40.33333333,-1.5,-7.166666667,0.333333333,-0.333333333,12.16666667,4.333333333,-2.852777778,,
112,reg,2018102804,DET,SEA,8,2018,4,55.5,61,-5.5,-0.666666667,7,0.166666667,-1.833333333,-86.83333333,-5.833333333,1.65,,
113,reg,2018102803,CIN,TB,8,2018,-3.666666667,-112.5,-110.8333333,-1.666666667,-0.666666667,-10,-1.333333333,0.833333333,32.5,-4,-2.272222222,,
114,reg,2018102802,CHI,NYJ,8,2018,7,54.5,37.83333333,16.66666667,-0.666666667,-5,-0.666666667,-1.666666667,-98.83333333,-2,3.15,,
115,reg,2018102801,CAR,BAL,8,2018,-2.166666667,-26.66666667,-70.5,43.83333333,-0.666666667,-2.833333333,0,-0.333333333,-13.5,1.5,-1.936111111,,
116,reg,2018102808,OAK,IND,8,2018,-1.5,5,19.83333333,-14.83333333,-0.333333333,9.5,0,0,-10.83333333,-4.166666667,4.766666667,,
117,reg,2018102809,ARI,SF,8,2018,-10.33333333,-143.3333333,-62,-81.33333333,-0.5,-16.33333333,-0.166666667,1.833333333,115.8333333,6.166666667,-5.161111111,,
118,reg,2018102810,LA,GB,8,2018,3.166666667,39,-12.66666667,51.66666667,-3,-33.83333333,-0.333333333,-1.5,-84.5,4.333333333,-0.180555556,,
119,reg,2018102811,MIN,NO,8,2018,-5,-23.16666667,2.5,-25.66666667,-0.166666667,-17.33333333,0.333333333,2.333333333,97.83333333,3.5,-1.4,,
120,reg,2018102900,BUF,NE,8,2018,-7.5,-132.3333333,-119.8333333,-12.5,2.833333333,15.66666667,0.666666667,2.333333333,91.66666667,7.5,0.280555556,,
121,reg,2018110100,SF,OAK,9,2018,1.666666667,-13.33333333,-51,37.66666667,-0.666666667,2.5,0.833333333,1,32.33333333,-3,0.063888889,,
122,reg,2018110401,BUF,CHI,9,2018,-9.166666667,-143.3333333,-107.8333333,-35.5,2.166666667,14.5,0.833333333,1.833333333,78.5,-1.166666667,-2.058333333,,
123,reg,2018110402,CAR,TB,9,2018,-3.5,-78.5,-128.1666667,49.66666667,-2.666666667,-22,-2.166666667,-0.166666667,-4.833333333,2.833333333,-0.825,,
124,reg,2018110403,CLE,KC,9,2018,-6.166666667,-84.33333333,-94.83333333,10.5,0.5,-3.666666667,0.5,5,233.1666667,2.166666667,0.416666667,,
125,reg,2018110404,MIA,NYJ,9,2018,2.166666667,45.5,60.5,-15,0.833333333,22,-0.333333333,-0.666666667,-44,-2.5,-0.658333333,,
126,reg,2018110400,BAL,PIT,9,2018,-0.833333333,-35.83333333,-44,8.166666667,-2,-22.83333333,0.166666667,0.166666667,8.666666667,-0.833333333,0.877777778,,
127,reg,2018110405,MIN,DET,9,2018,-0.666666667,-2,34,-36,-1.166666667,-16.83333333,0.666666667,0.833333333,40.33333333,-0.333333333,0.366666667,,
128,reg,2018110406,WAS,ATL,9,2018,-5.166666667,-92,-126.1666667,34.16666667,0.5,8.833333333,0.333333333,1,49.66666667,7.166666667,0.980555556,,
129,reg,2018110407,DEN,HOU,9,2018,0.333333333,-13.16666667,-26.83333333,13.66666667,0.166666667,18.83333333,-0.166666667,0.833333333,21.83333333,-3.5,-2.077777778,,
130,reg,2018110408,SEA,LAC,9,2018,-0.333333333,-36.83333333,-58.66666667,21.83333333,1.166666667,12.83333333,-0.166666667,1,52.83333333,3.5,0.808333333,,
131,reg,2018110409,NO,LA,9,2018,-1.666666667,-81.66666667,-37.66666667,-44,1.5,25.83333333,0,-0.666666667,-11,-1.666666667,0.522222222,,
132,reg,2018110410,NE,GB,9,2018,0.166666667,-25.16666667,-35,9.833333333,-2.166666667,-27.16666667,0.333333333,-0.666666667,-37,-5.166666667,-1.908333333,,
133,reg,2018110500,DAL,TEN,9,2018,2.666666667,63,25.5,37.5,0.666666667,7.833333333,0.333333333,-0.833333333,-56.16666667,-3.666666667,0.325,,
134,reg,2018110800,PIT,CAR,10,2018,1.166666667,22.33333333,66,-43.66666667,2.833333333,33.16666667,0.166666667,0.5,13,0.333333333,0.725,,
135,reg,2018111101,CIN,NO,10,2018,-5.166666667,-69.16666667,-26,-43.16666667,-0.166666667,-13.33333333,0.5,2.333333333,98.16666667,-0.666666667,-5.863888889,,
136,reg,2018111102,CLE,ATL,10,2018,-4.166666667,-67.83333333,-105.3333333,37.5,1.666666667,4.5,1.166666667,3,165.5,-0.166666667,-0.216666667,,
137,reg,2018111100,CHI,DET,10,2018,1.666666667,41.16666667,23.66666667,17.5,-0.333333333,-0.833333333,0.5,0.166666667,-3.666666667,-2.833333333,-0.769444444,,
138,reg,2018111105,KC,ARI,10,2018,9.166666667,198.3333333,143.3333333,55,2.5,29.5,-1.166666667,-3.333333333,-166.6666667,-8.333333333,4.6,,
139,reg,2018111108,TEN,NE,10,2018,-8,-150.1666667,-135.5,-14.66666667,-1,-7.833333333,-0.166666667,1.333333333,70.33333333,11.16666667,-0.413888889,,
140,reg,2018111107,TB,WAS,10,2018,8.166666667,103.5,130.5,-27,1.833333333,-5.166666667,2.333333333,-1,-39.83333333,-4,1.630555556,,
141,reg,2018111106,NYJ,BUF,10,2018,-0.833333333,53.16666667,38,15.16666667,-0.666666667,-23.5,-1,0.166666667,29.33333333,5.666666667,-1.016666667,,
142,reg,2018111104,IND,JAX,10,2018,6.166666667,59.33333333,18.83333333,40.5,2.333333333,12.66666667,-1,-1.166666667,-45.5,3.5,0.652777778,,
143,reg,2018111109,OAK,LAC,10,2018,0.333333333,-40.33333333,-2.666666667,-37.66666667,-0.333333333,-9,0.833333333,0,-2.166666667,0.333333333,1.802777778,,
144,reg,2018111110,LA,SEA,10,2018,4,94.83333333,105,-10.16666667,-4,-39,0.333333333,-1.666666667,-94.16666667,-2.666666667,-1.877777778,,
145,reg,2018111103,GB,MIA,10,2018,6.666666667,110.1666667,102.5,7.666666667,0.5,0.833333333,-0.166666667,-1.666666667,-75.66666667,-6.5,2.138888889,,
146,reg,2018111111,PHI,DAL,10,2018,3.833333333,47.33333333,72.16666667,-24.83333333,0.833333333,7.666666667,-0.166666667,0.166666667,25,2.833333333,3.313888889,,
147,reg,2018111200,SF,NYG,10,2018,1,-22.5,-69.16666667,46.66666667,-2,-29,1,0.5,1.666666667,-6.166666667,2.338888889,,
148,reg,2018111500,SEA,GB,11,2018,-0.833333333,-52,-109.6666667,57.66666667,1.5,12.83333333,-0.833333333,0.5,51.16666667,15.83333333,1.594444444,,
149,reg,2018111801,BAL,CIN,11,2018,3.333333333,37.33333333,37.83333333,-0.5,1,7.666666667,0.333333333,-0.166666667,7.166666667,8,4.247222222,,
150,reg,2018111800,ATL,DAL,11,2018,4,69.66666667,117.5,-47.83333333,0.666666667,2.166666667,-0.166666667,-0.833333333,-39,-2.5,0.002777778,,
151,reg,2018111805,NYG,TB,11,2018,-8,-85,-60.16666667,-24.83333333,-0.833333333,11.66666667,-1.833333333,0.833333333,45.16666667,8.333333333,-5.541666667,,
152,reg,2018111810,JAX,PIT,11,2018,-3.666666667,-33.5,-7.166666667,-26.33333333,-0.833333333,-11.5,1.666666667,0.333333333,20.33333333,1.666666667,-1.55,,
153,reg,2018111806,WAS,HOU,11,2018,-2.166666667,-40.83333333,-35.83333333,-5,0,20.66666667,-0.333333333,-0.333333333,-21,3.5,-2.002777778,,
154,reg,2018111804,IND,TEN,11,2018,5.166666667,118.1666667,99.66666667,18.5,3.166666667,25.16666667,0.5,-1,-49.5,2.833333333,-1.15,,
155,reg,2018111803,DET,CAR,11,2018,-0.166666667,-26.33333333,-4,-22.33333333,0.833333333,0,0,0,-3,0,0.811111111,,
